IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.13.227,4,4,0.00,192.69,0.00
172.67.89.228,4,4,0.00,192.72,0.00
104.20.43.188,4,4,0.00,192.72,0.00
104.20.111.47,4,4,0.00,192.73,0.00
104.27.31.65,4,4,0.00,192.75,0.00
104.19.202.131,4,4,0.00,192.76,0.00
104.19.124.179,4,4,0.00,192.76,0.00
104.19.164.219,4,4,0.00,192.76,0.00
104.25.34.137,4,4,0.00,192.77,0.00
104.22.45.89,4,4,0.00,192.77,0.00
104.19.94.216,4,4,0.00,192.82,0.00
104.24.163.106,4,4,0.00,192.84,0.00
104.23.117.68,4,4,0.00,192.84,0.00
162.159.141.73,4,4,0.00,192.88,0.00
104.24.132.65,4,4,0.00,192.94,0.00
141.101.114.137,4,4,0.00,192.94,0.00
104.25.131.44,4,4,0.00,192.95,0.00
104.20.133.253,4,4,0.00,192.95,0.00
104.27.55.158,4,4,0.00,193.00,0.00
104.20.178.133,4,4,0.00,193.02,0.00
104.19.22.191,4,4,0.00,193.03,0.00
104.20.74.23,4,4,0.00,193.03,0.00
172.65.182.152,4,4,0.00,193.03,0.00
172.65.95.41,4,4,0.00,193.04,0.00
104.24.21.106,4,4,0.00,193.05,0.00
104.27.24.32,4,4,0.00,193.08,0.00
104.24.185.155,4,4,0.00,193.08,0.00
104.27.26.127,4,4,0.00,193.09,0.00
172.66.158.14,4,4,0.00,193.09,0.00
104.17.45.35,4,4,0.00,193.09,0.00
172.66.153.198,4,4,0.00,193.09,0.00
104.24.217.211,4,4,0.00,193.13,0.00
172.65.249.138,4,4,0.00,193.14,0.00
172.67.8.196,4,4,0.00,193.15,0.00
172.65.111.227,4,4,0.00,193.15,0.00
104.19.156.228,4,4,0.00,193.16,0.00
172.65.139.80,4,4,0.00,193.20,0.00
104.17.161.28,4,4,0.00,193.20,0.00
104.25.182.137,4,4,0.00,193.22,0.00
104.20.193.135,4,4,0.00,193.24,0.00
104.20.39.204,4,4,0.00,193.25,0.00
104.25.246.121,4,4,0.00,193.25,0.00
104.25.45.57,4,4,0.00,193.27,0.00
172.67.105.60,4,4,0.00,193.27,0.00
198.41.214.28,4,4,0.00,193.29,0.00
104.24.20.27,4,4,0.00,193.29,0.00
104.22.44.22,4,4,0.00,193.31,0.00
104.23.119.168,4,4,0.00,193.33,0.00
104.25.203.161,4,4,0.00,193.33,0.00
104.27.118.26,4,4,0.00,193.36,0.00
104.27.73.76,4,4,0.00,193.38,0.00
104.25.158.196,4,4,0.00,193.38,0.00
172.67.23.128,4,4,0.00,193.40,0.00
